"Station.ID","UTMX","UTMY"
IT2134A,789.242,4715.101
IT2137A,1257.751,4536.570
IT2139A,1258.080,4538.226
IT2140A,827.088,5110.620
IT2141A,1032.105,4628.534
IT2142A,1037.320,4619.520
IT2143A,1197.458,4567.649
IT2144A,1152.347,4579.885
IT2145A,1153.860,4577.718
IT2146A,1154.102,4580.789
IT2148A,1220.096,4534.799
IT2149A,1210.905,4544.413
IT2150A,1274.825,4512.701
IT2151A,1267.222,4521.592
IT2152A,831.794,5083.142
IT2153A,668.773,4851.028
IT2154A,624.371,4754.384
IT2156A,628.565,4950.937
IT2158A,773.153,4867.288
IT2159A,869.913,4696.186
IT2160A,858.019,4704.786
IT2161A,924.189,4637.893
IT2162A,887.336,4734.516
IT2163A,915.755,4675.291
IT2164A,917.391,4701.987
IT2165A,941.577,4696.225
IT2167A,934.368,4710.084
IT2168A,393.575,4986.604
IT2169A,834.048,5085.492
IT2170A,831.148,5081.870
IT2171A,731.177,4664.009
IT2173A,883.140,4573.604
IT2174A,825.090,4596.154
IT2175A,781.349,4688.931
IT2177A,898.108,4766.209
IT2178A,409.864,5053.982
IT2179A,368.500,5065.528
IT2180A,957.668,4607.067
IT2181A,853.381,5073.827
IT2182A,843.278,5160.455
IT2183A,607.619,4824.856
IT2184A,688.469,4800.953
IT2200A,771.377,5094.558
IT2201A,783.272,5096.396
IT2202A,1086.000,4482.615
IT2203A,1086.384,4487.841
IT2204A,1083.642,4486.438
IT2205A,1091.154,4486.064
IT2207A,964.513,4116.056
IT2209A,729.267,4907.612
IT2210A,991.196,4536.858
IT2211A,954.466,4550.574
IT2212A,961.616,4544.843
IT2214A,976.595,4525.285
IT2215A,989.851,4571.512
IT2216A,946.291,4542.816
IT2217A,959.110,4526.430
IT2218A,956.325,4551.895
IT2219A,952.105,4546.121
IT2220A,932.162,4570.276
IT2221A,938.917,4534.605
IT2223A,950.808,4539.945
IT2224A,937.704,4550.808
IT2225A,944.769,4551.699
IT2226A,953.899,4543.978
IT2227A,987.287,4545.889
IT2228A,985.366,4567.735
IT2229A,576.426,4884.638
IT2230A,619.735,4975.702
IT2231A,750.554,5061.167
IT2232A,513.035,5043.798
IT2233A,368.074,5065.941
IT2234A,370.035,5065.479
IT2238A,1117.866,4273.843
IT2239A,625.051,4873.672
IT2240A,620.638,4854.398
IT2241A,590.771,4875.951
IT2242A,699.036,4832.962
IT2243A,658.792,5033.059
IT2245A,748.123,5115.039
IT2246A,767.910,4629.801
IT2247A,769.071,4629.110
IT2248A,730.835,4668.798
IT2249A,726.583,4671.181
IT2251A,732.999,4664.593
IT2252A,732.377,4662.677
IT2254A,739.575,4671.720
IT2255A,742.550,4670.875
IT2257A,738.699,4683.655
IT2261A,873.112,5066.813
IT2262A,870.628,5065.319
IT2264A,730.578,4664.295
IT2267A,371.727,5052.058
IT2269A,990.783,4517.401
IT2270A,951.227,4532.108
IT2271A,938.534,4549.132
IT2272A,932.049,4531.743
IT2273A,1053.459,4502.333
