"UTMX","UTMY"
1255.372,4542.456
1255.383,4542.462
1255.420,4542.477
1255.492,4542.498
1255.509,4542.496
1255.519,4542.494
1255.549,4542.485
1255.694,4542.409
1255.713,4542.399
1256.092,4542.087
1256.108,4542.065
1256.488,4541.367
1256.471,4541.322
1256.476,4541.282
1256.498,4541.142
1256.504,4541.121
1256.635,4540.804
1256.655,4540.759
1256.666,4540.742
1257.141,4540.276
1257.231,4540.195
1257.259,4540.182
1257.375,4540.160
1257.388,4540.158
1258.003,4540.107
1258.063,4540.128
1258.122,4540.146
1258.159,4540.156
1258.192,4540.162
1258.235,4540.166
1258.328,4540.169
1258.561,4540.161
1258.789,4540.186
1258.832,4540.192
1258.902,4540.206
1259.161,4540.266
1259.249,4540.287
1259.341,4540.307
1259.436,4540.319
1259.746,4540.357
1259.847,4540.368
1259.861,4540.413
1259.864,4540.363
1259.553,4540.324
1259.340,4540.298
1259.228,4540.274
1259.085,4540.240
1258.914,4540.200
1258.833,4540.181
1258.730,4540.019
1258.729,4540.016
1258.727,4540.013
1258.726,4539.993
1258.726,4539.988
1258.725,4539.978
1258.724,4539.938
1258.724,4539.933
1258.726,4539.922
1258.727,4539.920
1258.765,4539.893
1258.768,4539.891
1258.772,4539.889
1258.776,4539.892
1258.780,4539.913
1258.783,4539.915
1258.785,4539.912
1258.786,4539.908
1258.804,4539.857
1258.805,4539.853
1258.806,4539.837
1258.805,4539.824
1258.791,4539.741
1258.789,4539.734
1258.787,4539.732
1258.784,4539.730
1258.728,4539.720
1258.668,4539.711
1258.660,4539.713
1258.648,4539.720
1258.540,4539.825
1258.545,4539.806
1258.567,4539.740
1258.617,4539.688
1258.711,4539.662
1258.782,4539.668
1258.780,4539.661
1258.778,4539.654
1258.731,4539.568
1258.621,4539.378
1258.619,4539.374
1258.613,4539.367
1258.610,4539.363
1258.556,4539.304
1258.551,4539.302
1258.541,4539.303
1258.515,4539.311
1258.512,4539.313
1258.509,4539.317
1258.506,4539.324
1258.505,4539.327
1258.514,4539.385
1258.520,4539.413
1258.525,4539.426
1258.528,4539.429
1258.531,4539.430
1258.538,4539.445
1258.562,4539.527
1258.564,4539.532
1258.576,4539.583
1258.577,4539.603
1258.562,4539.722
1258.562,4539.737
1258.533,4539.829
1258.504,4539.871
1258.502,4539.881
1258.493,4540.046
1258.491,4540.085
1258.490,4540.088
1258.489,4540.092
1258.476,4540.121
1258.474,4540.124
1258.456,4540.152
1258.345,4540.154
1258.220,4540.148
1258.151,4540.137
1258.091,4540.120
1258.034,4540.101
1258.009,4539.832
1257.695,4539.096
1257.352,4538.423
1256.687,4537.959
1256.682,4537.959
1256.135,4537.801
1255.625,4537.622
1255.612,4537.617
1255.603,4537.612
1255.572,4537.591
1255.548,4537.572
1255.526,4537.552
1255.517,4537.544
1255.499,4537.524
