"Station.ID","Date","Data","ENS","UTMX","UTMY","WS","T2","PBL00","PBL12","TP","POP","ALT","Imperviousness","Builtup","roads","highways","HUD","LUD","Agriculture","Forests"
IT0957A,"01/01/2022",NA,36.80,803.343,4648.422,0.7,286.0,75.3,205.1,0.00,90018.9,59.0,2.190e+01,1.448e-01,1.275e+04,5.564e+04,2.298e-01,1.394e-01,5.369e-01,9.049e-03
IT0963A,"01/01/2022",NA,65.19,754.868,5043.582,1.3,278.8,125.4,139.3,0.01,151128.8,1.0,2.751e+01,2.154e-01,4.060e+04,2.794e+04,2.352e-01,2.225e-01,2.999e-01,1.280e-02
IT0978A,"01/01/2022",NA,7.68,347.334,5068.979,1.3,277.1,21.1,20.7,0.00,4417.8,927.0,2.007e+00,1.188e-02,1.738e+04,2.168e+04,2.395e-02,8.412e-03,5.408e-02,7.788e-01
IT0979A,"01/01/2022",NA,9.02,362.902,5075.100,1.0,280.0,21.7,21.9,0.00,1396.1,1298.0,6.766e-01,3.946e-03,1.025e+04,3.268e+03,0.000e+00,0.000e+00,1.199e-01,7.645e-01
IT0980A,"01/01/2022",NA,15.92,367.641,5065.488,1.1,281.2,21.1,19.5,0.00,50348.8,577.0,1.054e+01,6.392e-02,1.677e+04,2.559e+04,1.323e-01,4.661e-02,1.020e-01,4.639e-01
IT0983A,"01/01/2022",NA,18.33,369.621,5066.063,1.1,281.7,20.8,20.0,0.00,49592.6,580.0,1.157e+01,6.697e-02,1.839e+04,3.052e+04,1.284e-01,6.958e-02,8.216e-02,4.362e-01
IT0988A,"01/01/2022",NA,12.06,403.790,5049.969,1.0,285.4,42.2,48.6,0.00,9605.4,312.0,3.301e+00,1.752e-02,1.300e+04,2.197e+04,3.988e-02,5.004e-03,5.353e-02,8.323e-01
IT0989A,"01/01/2022",NA,11.10,825.193,4720.967,0.4,289.2,44.9,245.5,0.00,1741.5,945.0,5.572e-01,3.473e-03,1.787e+04,0.000e+00,6.688e-03,0.000e+00,2.601e-01,5.915e-01
IT0991A,"01/01/2022",NA,24.64,860.856,4628.601,0.9,288.2,20.9,216.0,0.00,25778.3,443.0,4.769e+00,2.487e-02,1.217e+04,0.000e+00,3.197e-02,7.844e-03,3.454e-01,2.517e-01
IT0992A,"01/01/2022",NA,18.69,889.166,4623.612,1.1,287.0,16.2,164.5,0.00,8105.3,381.0,2.152e+00,1.162e-02,0.000e+00,9.679e+03,1.087e-02,3.335e-03,2.014e-01,3.810e-01
IT0997A,"01/01/2022",NA,49.28,551.515,5060.450,0.8,283.1,18.9,81.5,0.00,193591.5,253.0,3.546e+01,2.464e-01,1.618e+04,5.610e+04,3.593e-01,1.668e-01,2.517e-01,1.081e-01
IT1001A,"01/01/2022",NA,47.94,621.559,4855.646,1.4,284.8,66.7,351.5,0.03,77827.2,19.0,1.731e+01,1.268e-01,4.055e+04,2.353e+04,2.568e-01,9.006e-02,2.127e-01,8.440e-02
